gene	bias1	bias2	bias3	mean	SD
Sm_t00005624-RA	37.4	22.56	NA	29.98	10.4934646328084
Sm_t00005625-RA	16.5	14.33	13.19	14.6733333333333	1.68149734859539
Sm_t00005629-RA	83.33	76.91	84.62	81.62	4.12966100303645
Sm_t00005633-RA	21.02	20.28	21.71	21.0033333333333	0.715145672806131
Sm_t00005637-RA	100	100	75.13	91.71	14.358701194746
Sm_t00005640-RA	13.62	10.45	10.66	11.5766666666667	1.77269098641961
Sm_t00005642-RA	13.79	17.8	25.69	19.0933333333333	6.05450520962146
Sm_t00005643-RA	5.51	3.39	6.85	5.25	1.74459164276343
Sm_t00005644-RA	33.14	29.6	29.85	30.8633333333333	1.97560961055906
Sm_t00005646-RA	28.23	30.29	27.1	28.54	1.61743624294746
Sm_t00005647-RA	57.35	70.47	NA	63.91	9.2772409691675
Sm_t00005651-RA	14.36	20.29	26.2	20.2833333333333	5.92000281531465
Sm_t00005656-RA	17.36	16.49	23.76	19.2033333333333	3.97009235828757
Sm_t00005660-RA	16.85	18.69	21.28	18.94	2.22555611027896
Sm_t00005661-RA	24.04	29.63	25.06	26.2433333333333	2.97695034109293
Sm_t00005664-RA	6.59	5.59	10.37	7.51666666666667	2.52113730949612
Sm_t00005668-RA	39.84	41.35	NA	40.595	1.06773123959169
Sm_t00005669-RA	16.45	16.49	10.42	14.4533333333333	3.49302638600588
Sm_t00005676-RA	64.62	41.25	56.66	54.1766666666667	11.8812639619416
Sm_t00005681-RA	37.64	30.83	43.67	37.38	6.4239473845915
Sm_t00005688-RA	27.83	25.36	22.18	25.1233333333333	2.83242534470608
Sm_t00005692-RA	15.28	14.04	16.47	15.2633333333333	1.21508573085743
Sm_t00005701-RA	15.86	18.98	23.01	19.2833333333333	3.58463852198982
Sm_t00005704-RA	59.65	64.3	53.2	59.05	5.57427125281861
Sm_t00005705-RA	56.74	64.3	60.58	60.54	3.78015872682616
Sm_t00005707-RA	20.45	12.03	27.35	19.9433333333333	7.67255715738458
Sm_t00005715-RA	39.62	42.88	49.37	43.9566666666667	4.96336915142661
Sm_t00005716-RA	8.09	12.1	17.36	12.5166666666667	4.64902498738535
Sm_t00005717-RA	100	67.98	52.3	73.4266666666667	24.3119751014461
Sm_t00005718-RA	100	100	100	100	0
Sm_t00005719-RA	7.13	12.54	16.4	12.0233333333333	4.65654736186945
Sm_t00005721-RA	36.34	31.41	42.44	36.73	5.52533256917626
Sm_t00005725-RA	28.71	16.58	18.89	21.3933333333333	6.44082551644844
Sm_t00005727-RA	22.91	22.92	NA	22.915	0.00707106781186658
Sm_t00005734-RA	28.31	18.11	31.11	25.8433333333333	6.84202699010559
Sm_t00005739-RA	100	100	NA	100	0
Sm_t00005749-RA	50.21	44.16	NA	47.185	4.27799602617862
Sm_t00005755-RA	100	100	100	100	0
Sm_t00005756-RA	21.09	29.13	24.04	24.7533333333333	4.06718985705528
Sm_t00005759-RA	29.22	25.45	20.82	25.1633333333333	4.20733090371239
Sm_t00005781-RA	58.87	64.44	61.15	61.4866666666667	2.80022022943434
Sm_t00005782-RA	40.89	44.75	47.45	44.3633333333333	3.29704918576192
Sm_t00005784-RA	32.05	41.36	39.56	37.6566666666667	4.93822167721674
Sm_t00005785-RA	30.92	39.73	37.89	36.18	4.64726801465119
Sm_t00005786-RA	8.1	11.61	7.66	9.12333333333333	2.16472477080421
Sm_t00005839-RA	100	100	100	100	0
Sm_t00005850-RA	48.98	53.56	100	67.5133333333333	28.2273224612844
Sm_t00005870-RA	53.58	55.66	63.77	57.67	5.38415267242674
Sm_t00005965-RA	56.31	57.22	58.38	57.3033333333333	1.03751305212674
Sm_t00005972-RA	63.89	100	60.43	74.7733333333333	21.9153241667408
Sm_t00006005-RA	56.41	51.73	41.6	49.9133333333333	7.57028621211466
Sm_t00006319-RA	23.98	14.01	19.05	19.0133333333333	4.98510113571764
Sm_t00006320-RA	13.5	25.49	NA	19.495	8.4782103064267
Sm_t00006332-RA	53.82	48.56	46.56	49.6466666666667	3.75000444444181
Sm_t00006341-RA	100	41.18	100	80.3933333333333	33.9597428337338
Sm_t00006349-RA	22.97	11.96	25.84	20.2566666666667	7.32702076790651
Sm_t00006350-RA	42.79	49.77	42.58	45.0466666666667	4.09187406127478
Sm_t00006355-RA	39.48	40.61	39.45	39.8466666666667	0.661236215987398
Sm_t00006359-RA	27.05	44.23	5.26	25.5133333333333	19.5303925545119
Sm_t00006361-RA	30.54	36.42	NA	33.48	4.1577878733769
Sm_t00006372-RA	5.74	12.61	10.23	9.52666666666667	3.48858615105508
Sm_t00006373-RA	22.26	26.71	11.18	20.05	7.99739332532795
Sm_t00006379-RA	100	60	NA	80	28.2842712474619
