gene	bias1	bias2	mean	SD
Sm_t00000509-RA	67.6	65.12	66.36	1.75362481734263
Sm_t00000511-RA	44.91	44.77	44.84	0.098994949366112
Sm_t00000512-RA	26.94	29.89	28.415	2.08596500450031
Sm_t00000513-RA	17.2	34.72	25.96	12.3885108063883
Sm_t00000514-RA	40.84	45.78	43.31	3.49310749906154
Sm_t00000520-RA	10.6	32.27	21.435	15.3230039483125
Sm_t00000522-RA	15.25	12.36	13.805	2.04353859762912
Sm_t00000525-RA	35.21	27.8	31.505	5.23966124859232
Sm_t00000527-RA	59.9	60	59.95	0.0707106781186558
Sm_t00000528-RA	52	49.3	50.65	1.90918830920368
Sm_t00000534-RA	19.54	18.25	18.895	0.912167747730646
Sm_t00000539-RA	35.78	63.79	49.785	19.8060609410352
Sm_t00000541-RA	65	37.84	51.42	19.2050201770266
Sm_t00000542-RA	10.41	14.41	12.41	2.82842712474619
Sm_t00000544-RA	100	100	100	0
Sm_t00000546-RA	61.9	33.76	47.83	19.8979848225894
Sm_t00000547-RA	16.58	19.48	18.03	2.05060966544099
Sm_t00000548-RA	52.9	50.78	51.84	1.49906637611548
Sm_t00000552-RA	23.46	12.56	18.01	7.70746391493337
Sm_t00000553-RA	33.13	36.97	35.05	2.71529003975634
Sm_t00000554-RA	24.85	29.93	27.39	3.59210244842766
Sm_t00000556-RA	43.72	40.31	42.015	2.41123412384612
Sm_t00000558-RA	25.86	54.19	40.025	20.0323351110149
Sm_t00000561-RA	5.56	32.35	18.955	18.9433906679876
Sm_t00000565-RA	59.09	52.34	55.715	4.7729707730092
Sm_t00000568-RA	43.53	24.91	34.22	13.1663282656935
Sm_t00000569-RA	35.89	62.79	49.34	19.0211724139181
Sm_t00000570-RA	46.25	58.49	52.37	8.65498700172334
Sm_t00000575-RA	9.9	19.33	14.615	6.66801694658914
Sm_t00000596-RA	15.65	12.63	14.14	2.13546247918337
Sm_t00000599-RA	39.1	15.54	27.32	16.6594357647551
Sm_t00000601-RA	25.62	24.76	25.19	0.60811183182043
Sm_t00000602-RA	15.39	23.07	19.23	5.43058007951269
Sm_t00000603-RA	59.92	76.26	68.09	11.5541248045882
Sm_t00000604-RA	7.47	11.85	9.66	3.09712770159708
Sm_t00000605-RA	21.5	16.34	18.92	3.64867099092259
Sm_t00000606-RA	48.59	58.94	53.765	7.31855518528076
Sm_t00000607-RA	56.42	26.33	41.375	21.2768430459032
Sm_t00000608-RA	21.14	25.31	23.225	2.9486352775479
Sm_t00000609-RA	19.42	15.86	17.64	2.51730014102411
Sm_t00000611-RA	7.34	4.42	5.88	2.06475180106472
Sm_t00000612-RA	17.01	22.44	19.725	3.83958982184295
Sm_t00000613-RA	37.5	35.09	36.295	1.70412734265958
Sm_t00000614-RA	51.14	45.44	48.29	4.03050865276332
Sm_t00000616-RA	32.34	34.02	33.18	1.1879393923934
Sm_t00000617-RA	20	3.11	11.555	11.9430335342408
Sm_t00000619-RA	14.37	12.77	13.57	1.13137084989848
Sm_t00000620-RA	35.01	30.58	32.795	3.13248304065641
